epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,495.117,1.83989,2.46629,0.00746,0.54585,0.44042,0.45788,0.19787,2.05278,1.98623,0.00928,0.00999409,0.00333136,0.00999409,0.00333136,0.00999409,0.00333136,0.00999409,0.00333136
2,851.211,1.83425,1.60892,0.00742,0.58645,0.5018,0.51746,0.23883,2.10864,1.71167,0.01051,0.0196642,0.00655473,0.0196642,0.00655473,0.0196642,0.00655473,0.0196642,0.00655473
3,1150.93,1.879,1.5507,0.00793,0.63409,0.51268,0.55516,0.2555,2.14399,1.67653,0.01182,0.0290043,0.0096681,0.0290043,0.0096681,0.0290043,0.0096681,0.0290043,0.0096681
4,1430.88,1.89848,1.51399,0.00802,0.69932,0.5622,0.6092,0.28293,2.17843,1.5885,0.0115,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,1705.79,1.86962,1.44434,0.00782,0.6855,0.58945,0.62392,0.28939,2.15676,1.49193,0.01151,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,1986.32,1.83592,1.38307,0.00769,0.71478,0.61305,0.64679,0.32094,2.15874,1.46803,0.01102,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,2259.63,1.81272,1.3523,0.00755,0.70991,0.59991,0.6375,0.32458,2.21153,1.51496,0.01142,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,2538.08,1.79835,1.31864,0.0074,0.76369,0.64261,0.68821,0.35777,2.13003,1.34458,0.01062,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,2813.36,1.78546,1.29033,0.00724,0.78511,0.67164,0.71316,0.37959,2.12106,1.28871,0.01044,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,3087.3,1.76783,1.26839,0.00721,0.77801,0.67683,0.72446,0.39715,2.06398,1.32177,0.01002,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,3363.67,1.75622,1.24707,0.00713,0.76758,0.66795,0.7062,0.38725,2.08679,1.26979,0.01015,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,3639.45,1.74558,1.23561,0.00704,0.77981,0.67951,0.72082,0.38726,2.07328,1.2732,0.00976,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,3919.32,1.72359,1.21253,0.00698,0.8071,0.67875,0.73854,0.40654,2.03898,1.24388,0.00968,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,4191.92,1.72401,1.18985,0.00685,0.79353,0.68353,0.73065,0.39447,2.09779,1.23056,0.00986,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,4468.46,1.71165,1.18331,0.00688,0.81621,0.67879,0.73027,0.39903,2.06227,1.23222,0.00958,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,4740.49,1.69916,1.17288,0.0068,0.81994,0.69498,0.74168,0.41406,2.03294,1.22599,0.00943,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,5016.36,1.68832,1.1572,0.0067,0.79721,0.69532,0.74046,0.4191,2.06092,1.24994,0.00935,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,5291.48,1.67572,1.14699,0.00666,0.81387,0.7124,0.75274,0.42192,2.04776,1.20601,0.00929,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,5567.25,1.67876,1.13709,0.0066,0.81044,0.71462,0.75905,0.42917,2.02352,1.1772,0.00904,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,5840.72,1.66679,1.12691,0.00658,0.81401,0.70273,0.74811,0.42318,2.01353,1.18414,0.00906,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,6112.02,1.6625,1.12177,0.00654,0.81943,0.71204,0.75135,0.43336,2.00975,1.20859,0.00889,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,6388.82,1.66157,1.10494,0.00644,0.81576,0.71251,0.75015,0.43789,2.04812,1.17967,0.00899,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
23,6659.91,1.64592,1.09849,0.00649,0.81552,0.71195,0.74965,0.43684,2.05707,1.18823,0.00905,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
