epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,229.459,1.84467,1.95211,0.00492,0.74029,0.72107,0.79076,0.41158,1.55113,1.32602,0.00574,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287,0.00998609,0.0033287
2,394.045,1.76406,1.12028,0.00461,0.84017,0.80027,0.88184,0.48881,1.53849,0.9027,0.00569,0.0197388,0.00657959,0.0197388,0.00657959,0.0197388,0.00657959,0.0197388,0.00657959
3,543.619,1.76941,0.96796,0.00472,0.85468,0.82118,0.89328,0.4908,1.58271,0.84455,0.00581,0.0292439,0.00974798,0.0292439,0.00974798,0.0292439,0.00974798,0.0292439,0.00974798
4,676.321,1.77781,0.89746,0.00469,0.88823,0.84254,0.91783,0.51398,1.5506,0.74285,0.00573,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,809.947,1.75303,0.83699,0.00458,0.89213,0.85877,0.92157,0.52351,1.55072,0.70316,0.00579,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,945.38,1.72483,0.80497,0.00452,0.90094,0.86159,0.92978,0.53661,1.52399,0.71038,0.00563,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,1078.62,1.7099,0.78233,0.00444,0.91142,0.86615,0.93313,0.54252,1.52695,0.68006,0.00567,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,1208.79,1.69818,0.7602,0.00441,0.91131,0.88506,0.94267,0.55368,1.48586,0.6108,0.00548,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,1341.19,1.68339,0.74749,0.00438,0.91312,0.87802,0.94106,0.54842,1.49933,0.63777,0.00551,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,1475.75,1.67546,0.72681,0.00433,0.91496,0.8844,0.94409,0.55826,1.489,0.61542,0.00546,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,1604.18,1.66705,0.71907,0.00433,0.92092,0.88968,0.94777,0.56086,1.48186,0.59673,0.00545,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,1734.42,1.66162,0.71213,0.00428,0.90869,0.88542,0.93742,0.54194,1.52511,0.63737,0.00549,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,1872.87,1.6443,0.70079,0.0043,0.92355,0.89138,0.94763,0.56242,1.47189,0.57869,0.00535,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,2006.43,1.64411,0.68937,0.00428,0.92545,0.8953,0.95088,0.56297,1.46562,0.57733,0.00529,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,2139.99,1.63457,0.68288,0.00424,0.92918,0.89981,0.95277,0.56754,1.46862,0.55567,0.00534,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,2272.9,1.62964,0.67676,0.00424,0.92746,0.90088,0.95342,0.57169,1.45498,0.55285,0.00524,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,2405.98,1.61924,0.66683,0.00418,0.92456,0.90069,0.95158,0.5718,1.45593,0.55951,0.00528,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,2543.12,1.61871,0.65463,0.00416,0.93291,0.90228,0.95482,0.57087,1.45201,0.53824,0.00523,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,2676.38,1.61791,0.65199,0.00414,0.93232,0.90467,0.95602,0.57881,1.44105,0.54542,0.00522,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,2809.78,1.61623,0.64914,0.00414,0.93139,0.90521,0.95592,0.58135,1.44035,0.5286,0.00519,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,2943.59,1.60393,0.64775,0.00411,0.9383,0.91193,0.95987,0.58907,1.4261,0.51078,0.00518,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,3077.07,1.5987,0.63865,0.00409,0.93491,0.91082,0.95876,0.5825,1.42881,0.52173,0.00517,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,3219.72,1.59189,0.63658,0.00408,0.93474,0.91542,0.96066,0.58707,1.42202,0.50876,0.00513,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,3352.02,1.58975,0.63631,0.00409,0.93739,0.91208,0.95996,0.58329,1.42399,0.50888,0.00509,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
25,3487.58,1.58539,0.62531,0.00402,0.93674,0.9141,0.96128,0.58994,1.41136,0.51355,0.00508,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
26,3623.65,1.59476,0.62788,0.00405,0.94005,0.91761,0.96165,0.58955,1.41657,0.50432,0.0051,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
27,3755.87,1.57869,0.61844,0.00405,0.94029,0.91851,0.96323,0.59164,1.41232,0.49712,0.00507,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
28,3889.26,1.57528,0.61488,0.00402,0.93752,0.92109,0.96304,0.59509,1.40838,0.49092,0.00504,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
29,4019.55,1.57848,0.61703,0.004,0.94322,0.92189,0.96501,0.59948,1.39252,0.47491,0.00499,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
30,4156.01,1.56705,0.60987,0.00402,0.94022,0.92157,0.96431,0.59687,1.39764,0.48651,0.005,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,4284.53,1.56128,0.61022,0.00398,0.94158,0.92218,0.96455,0.5993,1.39131,0.48361,0.00497,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,4414.83,1.56511,0.60278,0.00396,0.93958,0.92438,0.96503,0.59997,1.38934,0.48144,0.00497,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,4548.43,1.55979,0.60365,0.00394,0.94021,0.92194,0.96491,0.59651,1.39291,0.48919,0.00497,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,4679.67,1.55187,0.60182,0.00391,0.94593,0.92161,0.96593,0.60432,1.37779,0.47333,0.00491,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,4809.4,1.54411,0.59403,0.00396,0.94192,0.92686,0.96686,0.60066,1.38422,0.47136,0.00493,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,4938.97,1.5445,0.59064,0.00392,0.94471,0.9266,0.96724,0.60535,1.37707,0.4677,0.0049,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,5071.82,1.53185,0.58816,0.00393,0.94435,0.92585,0.96695,0.60525,1.37107,0.47198,0.00488,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,5207.79,1.53833,0.58554,0.00391,0.94516,0.92857,0.96744,0.60544,1.37623,0.46802,0.0049,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,5339.34,1.53783,0.58344,0.00393,0.94879,0.92825,0.96879,0.61118,1.36565,0.46142,0.00486,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,5469.86,1.53303,0.58348,0.00388,0.94821,0.93011,0.96925,0.61118,1.36404,0.45632,0.00486,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,5607.15,1.52135,0.57618,0.00386,0.94755,0.9305,0.96865,0.60909,1.36611,0.45663,0.00485,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,5737.91,1.52315,0.57472,0.00383,0.94794,0.93279,0.9692,0.61016,1.36321,0.45056,0.00484,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,5869.23,1.52289,0.57555,0.00385,0.94956,0.93033,0.96932,0.6123,1.35703,0.45001,0.00482,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,6000.48,1.51475,0.57399,0.00382,0.94627,0.9329,0.96934,0.61222,1.35733,0.45308,0.00481,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,6135.55,1.51414,0.57389,0.00386,0.94837,0.93172,0.96969,0.61367,1.35719,0.45221,0.00482,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
